序号,列名,模态,窗口指标,窗口指标含义,统计量,统计量含义,单位,这一维在说什么
75,eeg_parietal_gamma_power_z_within_subject__median,脑电,eeg_parietal_gamma_power_z_within_subject,顶区γ 功率（30–45 Hz，更细的信息加工）,median,任务内中位数,z 分数,顶区（和空间注意、加工有关）的γ 功率（30–45 Hz，更细的信息加工），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
76,eeg_parietal_gamma_power_z_within_subject__slope,脑电,eeg_parietal_gamma_power_z_within_subject,顶区γ 功率（30–45 Hz，更细的信息加工）,slope,任务过程走势,z 分数,顶区（和空间注意、加工有关）的γ 功率（30–45 Hz，更细的信息加工），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
77,eeg_parietal_theta_alpha_z_within_subject__mean,脑电,eeg_parietal_theta_alpha_z_within_subject,顶区θ/α 比值（负荷相关常用比值）,mean,任务内平均,z 分数（比值）,顶区（和空间注意、加工有关）的θ/α 比值（负荷相关常用比值），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
78,eeg_parietal_theta_alpha_z_within_subject__std,脑电,eeg_parietal_theta_alpha_z_within_subject,顶区θ/α 比值（负荷相关常用比值）,std,任务内波动,z 分数（比值）,顶区（和空间注意、加工有关）的θ/α 比值（负荷相关常用比值），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
79,eeg_parietal_theta_alpha_z_within_subject__median,脑电,eeg_parietal_theta_alpha_z_within_subject,顶区θ/α 比值（负荷相关常用比值）,median,任务内中位数,z 分数（比值）,顶区（和空间注意、加工有关）的θ/α 比值（负荷相关常用比值），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
80,eeg_parietal_theta_alpha_z_within_subject__slope,脑电,eeg_parietal_theta_alpha_z_within_subject,顶区θ/α 比值（负荷相关常用比值）,slope,任务过程走势,z 分数（比值）,顶区（和空间注意、加工有关）的θ/α 比值（负荷相关常用比值），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
81,eeg_parietal_beta_alpha_z_within_subject__mean,脑电,eeg_parietal_beta_alpha_z_within_subject,顶区β/α 比值（激活相对放松）,mean,任务内平均,z 分数（比值）,顶区（和空间注意、加工有关）的β/α 比值（激活相对放松），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
82,eeg_parietal_beta_alpha_z_within_subject__std,脑电,eeg_parietal_beta_alpha_z_within_subject,顶区β/α 比值（激活相对放松）,std,任务内波动,z 分数（比值）,顶区（和空间注意、加工有关）的β/α 比值（激活相对放松），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
83,eeg_parietal_beta_alpha_z_within_subject__median,脑电,eeg_parietal_beta_alpha_z_within_subject,顶区β/α 比值（激活相对放松）,median,任务内中位数,z 分数（比值）,顶区（和空间注意、加工有关）的β/α 比值（激活相对放松），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
84,eeg_parietal_beta_alpha_z_within_subject__slope,脑电,eeg_parietal_beta_alpha_z_within_subject,顶区β/α 比值（激活相对放松）,slope,任务过程走势,z 分数（比值）,顶区（和空间注意、加工有关）的β/α 比值（激活相对放松），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
85,eeg_occipital_delta_power_z_within_subject__mean,脑电,eeg_occipital_delta_power_z_within_subject,枕区δ 功率（1–4 Hz，较慢）,mean,任务内平均,z 分数,枕区（视觉皮层附近）的δ 功率（1–4 Hz，较慢），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
86,eeg_occipital_delta_power_z_within_subject__std,脑电,eeg_occipital_delta_power_z_within_subject,枕区δ 功率（1–4 Hz，较慢）,std,任务内波动,z 分数,枕区（视觉皮层附近）的δ 功率（1–4 Hz，较慢），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
87,eeg_occipital_delta_power_z_within_subject__median,脑电,eeg_occipital_delta_power_z_within_subject,枕区δ 功率（1–4 Hz，较慢）,median,任务内中位数,z 分数,枕区（视觉皮层附近）的δ 功率（1–4 Hz，较慢），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
88,eeg_occipital_delta_power_z_within_subject__slope,脑电,eeg_occipital_delta_power_z_within_subject,枕区δ 功率（1–4 Hz，较慢）,slope,任务过程走势,z 分数,枕区（视觉皮层附近）的δ 功率（1–4 Hz，较慢），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
89,eeg_occipital_theta_power_z_within_subject__mean,脑电,eeg_occipital_theta_power_z_within_subject,枕区θ 功率（4–8 Hz，和工作记忆/困倦常一起讨论）,mean,任务内平均,z 分数,枕区（视觉皮层附近）的θ 功率（4–8 Hz，和工作记忆/困倦常一起讨论），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
90,eeg_occipital_theta_power_z_within_subject__std,脑电,eeg_occipital_theta_power_z_within_subject,枕区θ 功率（4–8 Hz，和工作记忆/困倦常一起讨论）,std,任务内波动,z 分数,枕区（视觉皮层附近）的θ 功率（4–8 Hz，和工作记忆/困倦常一起讨论），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
91,eeg_occipital_theta_power_z_within_subject__median,脑电,eeg_occipital_theta_power_z_within_subject,枕区θ 功率（4–8 Hz，和工作记忆/困倦常一起讨论）,median,任务内中位数,z 分数,枕区（视觉皮层附近）的θ 功率（4–8 Hz，和工作记忆/困倦常一起讨论），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
92,eeg_occipital_theta_power_z_within_subject__slope,脑电,eeg_occipital_theta_power_z_within_subject,枕区θ 功率（4–8 Hz，和工作记忆/困倦常一起讨论）,slope,任务过程走势,z 分数,枕区（视觉皮层附近）的θ 功率（4–8 Hz，和工作记忆/困倦常一起讨论），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
93,eeg_occipital_alpha_power_z_within_subject__mean,脑电,eeg_occipital_alpha_power_z_within_subject,枕区α 功率（8–13 Hz，放松、皮层抑制）,mean,任务内平均,z 分数,枕区（视觉皮层附近）的α 功率（8–13 Hz，放松、皮层抑制），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
94,eeg_occipital_alpha_power_z_within_subject__std,脑电,eeg_occipital_alpha_power_z_within_subject,枕区α 功率（8–13 Hz，放松、皮层抑制）,std,任务内波动,z 分数,枕区（视觉皮层附近）的α 功率（8–13 Hz，放松、皮层抑制），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
95,eeg_occipital_alpha_power_z_within_subject__median,脑电,eeg_occipital_alpha_power_z_within_subject,枕区α 功率（8–13 Hz，放松、皮层抑制）,median,任务内中位数,z 分数,枕区（视觉皮层附近）的α 功率（8–13 Hz，放松、皮层抑制），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
96,eeg_occipital_alpha_power_z_within_subject__slope,脑电,eeg_occipital_alpha_power_z_within_subject,枕区α 功率（8–13 Hz，放松、皮层抑制）,slope,任务过程走势,z 分数,枕区（视觉皮层附近）的α 功率（8–13 Hz，放松、皮层抑制），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
97,eeg_occipital_beta_power_z_within_subject__mean,脑电,eeg_occipital_beta_power_z_within_subject,枕区β 功率（13–30 Hz，警觉、认知投入）,mean,任务内平均,z 分数,枕区（视觉皮层附近）的β 功率（13–30 Hz，警觉、认知投入），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
98,eeg_occipital_beta_power_z_within_subject__std,脑电,eeg_occipital_beta_power_z_within_subject,枕区β 功率（13–30 Hz，警觉、认知投入）,std,任务内波动,z 分数,枕区（视觉皮层附近）的β 功率（13–30 Hz，警觉、认知投入），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
99,eeg_occipital_beta_power_z_within_subject__median,脑电,eeg_occipital_beta_power_z_within_subject,枕区β 功率（13–30 Hz，警觉、认知投入）,median,任务内中位数,z 分数,枕区（视觉皮层附近）的β 功率（13–30 Hz，警觉、认知投入），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
100,eeg_occipital_beta_power_z_within_subject__slope,脑电,eeg_occipital_beta_power_z_within_subject,枕区β 功率（13–30 Hz，警觉、认知投入）,slope,任务过程走势,z 分数,枕区（视觉皮层附近）的β 功率（13–30 Hz，警觉、认知投入），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
101,eeg_occipital_gamma_power_z_within_subject__mean,脑电,eeg_occipital_gamma_power_z_within_subject,枕区γ 功率（30–45 Hz，更细的信息加工）,mean,任务内平均,z 分数,枕区（视觉皮层附近）的γ 功率（30–45 Hz，更细的信息加工），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
102,eeg_occipital_gamma_power_z_within_subject__std,脑电,eeg_occipital_gamma_power_z_within_subject,枕区γ 功率（30–45 Hz，更细的信息加工）,std,任务内波动,z 分数,枕区（视觉皮层附近）的γ 功率（30–45 Hz，更细的信息加工），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
103,eeg_occipital_gamma_power_z_within_subject__median,脑电,eeg_occipital_gamma_power_z_within_subject,枕区γ 功率（30–45 Hz，更细的信息加工）,median,任务内中位数,z 分数,枕区（视觉皮层附近）的γ 功率（30–45 Hz，更细的信息加工），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
104,eeg_occipital_gamma_power_z_within_subject__slope,脑电,eeg_occipital_gamma_power_z_within_subject,枕区γ 功率（30–45 Hz，更细的信息加工）,slope,任务过程走势,z 分数,枕区（视觉皮层附近）的γ 功率（30–45 Hz，更细的信息加工），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
105,eeg_occipital_theta_alpha_z_within_subject__mean,脑电,eeg_occipital_theta_alpha_z_within_subject,枕区θ/α 比值（负荷相关常用比值）,mean,任务内平均,z 分数（比值）,枕区（视觉皮层附近）的θ/α 比值（负荷相关常用比值），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
106,eeg_occipital_theta_alpha_z_within_subject__std,脑电,eeg_occipital_theta_alpha_z_within_subject,枕区θ/α 比值（负荷相关常用比值）,std,任务内波动,z 分数（比值）,枕区（视觉皮层附近）的θ/α 比值（负荷相关常用比值），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
107,eeg_occipital_theta_alpha_z_within_subject__median,脑电,eeg_occipital_theta_alpha_z_within_subject,枕区θ/α 比值（负荷相关常用比值）,median,任务内中位数,z 分数（比值）,枕区（视觉皮层附近）的θ/α 比值（负荷相关常用比值），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
108,eeg_occipital_theta_alpha_z_within_subject__slope,脑电,eeg_occipital_theta_alpha_z_within_subject,枕区θ/α 比值（负荷相关常用比值）,slope,任务过程走势,z 分数（比值）,枕区（视觉皮层附近）的θ/α 比值（负荷相关常用比值），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
109,eeg_occipital_beta_alpha_z_within_subject__mean,脑电,eeg_occipital_beta_alpha_z_within_subject,枕区β/α 比值（激活相对放松）,mean,任务内平均,z 分数（比值）,枕区（视觉皮层附近）的β/α 比值（激活相对放松），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
110,eeg_occipital_beta_alpha_z_within_subject__std,脑电,eeg_occipital_beta_alpha_z_within_subject,枕区β/α 比值（激活相对放松）,std,任务内波动,z 分数（比值）,枕区（视觉皮层附近）的β/α 比值（激活相对放松），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
111,eeg_occipital_beta_alpha_z_within_subject__median,脑电,eeg_occipital_beta_alpha_z_within_subject,枕区β/α 比值（激活相对放松）,median,任务内中位数,z 分数（比值）,枕区（视觉皮层附近）的β/α 比值（激活相对放松），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
112,eeg_occipital_beta_alpha_z_within_subject__slope,脑电,eeg_occipital_beta_alpha_z_within_subject,枕区β/α 比值（激活相对放松）,slope,任务过程走势,z 分数（比值）,枕区（视觉皮层附近）的β/α 比值（激活相对放松），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
113,hr_mean__mean,心率,hr_mean,心率,mean,任务内平均,bpm,这个时间窗内心率的平均值。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
114,hr_mean__std,心率,hr_mean,心率,std,任务内波动,bpm,这个时间窗内心率的平均值。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
115,hr_mean__median,心率,hr_mean,心率,median,任务内中位数,bpm,这个时间窗内心率的平均值。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
116,hr_mean__slope,心率,hr_mean,心率,slope,任务过程走势,bpm,这个时间窗内心率的平均值。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
117,hr_std__mean,心率,hr_std,心率波动,mean,任务内平均,bpm,这个时间窗内心率的标准差。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
118,hr_std__std,心率,hr_std,心率波动,std,任务内波动,bpm,这个时间窗内心率的标准差。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
119,hr_std__median,心率,hr_std,心率波动,median,任务内中位数,bpm,这个时间窗内心率的标准差。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
120,hr_std__slope,心率,hr_std,心率波动,slope,任务过程走势,bpm,这个时间窗内心率的标准差。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
121,hr_min__mean,心率,hr_min,最低心率,mean,任务内平均,bpm,这个时间窗内最低心率。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
122,hr_min__std,心率,hr_min,最低心率,std,任务内波动,bpm,这个时间窗内最低心率。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
123,hr_min__median,心率,hr_min,最低心率,median,任务内中位数,bpm,这个时间窗内最低心率。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
124,hr_min__slope,心率,hr_min,最低心率,slope,任务过程走势,bpm,这个时间窗内最低心率。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
125,hr_max__mean,心率,hr_max,最高心率,mean,任务内平均,bpm,这个时间窗内最高心率。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
126,hr_max__std,心率,hr_max,最高心率,std,任务内波动,bpm,这个时间窗内最高心率。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
127,hr_max__median,心率,hr_max,最高心率,median,任务内中位数,bpm,这个时间窗内最高心率。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
128,hr_max__slope,心率,hr_max,最高心率,slope,任务过程走势,bpm,这个时间窗内最高心率。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
129,hr_slope_bpm_per_min__mean,心率,hr_slope_bpm_per_min,窗内心率走势,mean,任务内平均,bpm/分钟,这个 30 秒窗内心率随时间变快还是变慢。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
130,hr_slope_bpm_per_min__std,心率,hr_slope_bpm_per_min,窗内心率走势,std,任务内波动,bpm/分钟,这个 30 秒窗内心率随时间变快还是变慢。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
131,hr_slope_bpm_per_min__median,心率,hr_slope_bpm_per_min,窗内心率走势,median,任务内中位数,bpm/分钟,这个 30 秒窗内心率随时间变快还是变慢。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
132,hr_slope_bpm_per_min__slope,心率,hr_slope_bpm_per_min,窗内心率走势,slope,任务过程走势,bpm/分钟,这个 30 秒窗内心率随时间变快还是变慢。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
133,eye_pupil_filtered_mean__mean,眼动,eye_pupil_filtered_mean,瞳孔直径均值,mean,任务内平均,mm,Tobii 滤波后的瞳孔直径，窗内平均。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
134,eye_pupil_filtered_mean__std,眼动,eye_pupil_filtered_mean,瞳孔直径均值,std,任务内波动,mm,Tobii 滤波后的瞳孔直径，窗内平均。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
135,eye_pupil_filtered_mean__median,眼动,eye_pupil_filtered_mean,瞳孔直径均值,median,任务内中位数,mm,Tobii 滤波后的瞳孔直径，窗内平均。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
136,eye_pupil_filtered_mean__slope,眼动,eye_pupil_filtered_mean,瞳孔直径均值,slope,任务过程走势,mm,Tobii 滤波后的瞳孔直径，窗内平均。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
137,eye_pupil_filtered_std__mean,眼动,eye_pupil_filtered_std,瞳孔直径波动,mean,任务内平均,mm,窗内瞳孔直径标准差。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
138,eye_pupil_filtered_std__std,眼动,eye_pupil_filtered_std,瞳孔直径波动,std,任务内波动,mm,窗内瞳孔直径标准差。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
139,eye_pupil_filtered_std__median,眼动,eye_pupil_filtered_std,瞳孔直径波动,median,任务内中位数,mm,窗内瞳孔直径标准差。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
140,eye_pupil_filtered_std__slope,眼动,eye_pupil_filtered_std,瞳孔直径波动,slope,任务过程走势,mm,窗内瞳孔直径标准差。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
141,eye_valid_ratio__mean,眼动,eye_valid_ratio,双眼有效比例,mean,任务内平均,0–1,左右眼都有效的采样点占比。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
142,eye_valid_ratio__std,眼动,eye_valid_ratio,双眼有效比例,std,任务内波动,0–1,左右眼都有效的采样点占比。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
143,eye_valid_ratio__median,眼动,eye_valid_ratio,双眼有效比例,median,任务内中位数,0–1,左右眼都有效的采样点占比。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
144,eye_valid_ratio__slope,眼动,eye_valid_ratio,双眼有效比例,slope,任务过程走势,0–1,左右眼都有效的采样点占比。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
145,eye_fixation_ratio__mean,眼动,eye_fixation_ratio,注视时间占比,mean,任务内平均,0–1,眼动类型为 Fixation 的时间比例。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
146,eye_fixation_ratio__std,眼动,eye_fixation_ratio,注视时间占比,std,任务内波动,0–1,眼动类型为 Fixation 的时间比例。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
147,eye_fixation_ratio__median,眼动,eye_fixation_ratio,注视时间占比,median,任务内中位数,0–1,眼动类型为 Fixation 的时间比例。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
148,eye_fixation_ratio__slope,眼动,eye_fixation_ratio,注视时间占比,slope,任务过程走势,0–1,眼动类型为 Fixation 的时间比例。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
149,eye_saccade_ratio__mean,眼动,eye_saccade_ratio,扫视时间占比,mean,任务内平均,0–1,眼动类型为 Saccade 的时间比例。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
150,eye_saccade_ratio__std,眼动,eye_saccade_ratio,扫视时间占比,std,任务内波动,0–1,眼动类型为 Saccade 的时间比例。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
151,eye_saccade_ratio__median,眼动,eye_saccade_ratio,扫视时间占比,median,任务内中位数,0–1,眼动类型为 Saccade 的时间比例。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
152,eye_saccade_ratio__slope,眼动,eye_saccade_ratio,扫视时间占比,slope,任务过程走势,0–1,眼动类型为 Saccade 的时间比例。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
153,eye_eyes_not_found_ratio__mean,眼动,eye_eyes_not_found_ratio,找不到眼睛的比例,mean,任务内平均,0–1,眼动类型为 EyesNotFound 的时间比例（遮挡/眨眼/离屏）。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
154,eye_eyes_not_found_ratio__std,眼动,eye_eyes_not_found_ratio,找不到眼睛的比例,std,任务内波动,0–1,眼动类型为 EyesNotFound 的时间比例（遮挡/眨眼/离屏）。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
155,eye_eyes_not_found_ratio__median,眼动,eye_eyes_not_found_ratio,找不到眼睛的比例,median,任务内中位数,0–1,眼动类型为 EyesNotFound 的时间比例（遮挡/眨眼/离屏）。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
156,eye_eyes_not_found_ratio__slope,眼动,eye_eyes_not_found_ratio,找不到眼睛的比例,slope,任务过程走势,0–1,眼动类型为 EyesNotFound 的时间比例（遮挡/眨眼/离屏）。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
157,eye_aoi_interval_n__mean,眼动-AOI,eye_aoi_interval_n,AOI 区间条数,mean,任务内平均,条,这个窗里碰到了多少条兴趣区（AOI）注视区间。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
158,eye_aoi_interval_n__std,眼动-AOI,eye_aoi_interval_n,AOI 区间条数,std,任务内波动,条,这个窗里碰到了多少条兴趣区（AOI）注视区间。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
159,eye_aoi_interval_n__median,眼动-AOI,eye_aoi_interval_n,AOI 区间条数,median,任务内中位数,条,这个窗里碰到了多少条兴趣区（AOI）注视区间。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
160,eye_aoi_interval_n__slope,眼动-AOI,eye_aoi_interval_n,AOI 区间条数,slope,任务过程走势,条,这个窗里碰到了多少条兴趣区（AOI）注视区间。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
161,eye_aoi_unique_hit_n__mean,眼动-AOI,eye_aoi_unique_hit_n,点到几个不同 AOI,mean,任务内平均,个,这个窗里真正有注视的不同界面区域个数。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
162,eye_aoi_unique_hit_n__std,眼动-AOI,eye_aoi_unique_hit_n,点到几个不同 AOI,std,任务内波动,个,这个窗里真正有注视的不同界面区域个数。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
163,eye_aoi_unique_hit_n__median,眼动-AOI,eye_aoi_unique_hit_n,点到几个不同 AOI,median,任务内中位数,个,这个窗里真正有注视的不同界面区域个数。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
164,eye_aoi_unique_hit_n__slope,眼动-AOI,eye_aoi_unique_hit_n,点到几个不同 AOI,slope,任务过程走势,个,这个窗里真正有注视的不同界面区域个数。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
165,eye_aoi_total_fix_ms__mean,眼动-AOI,eye_aoi_total_fix_ms,AOI 上总注视时长,mean,任务内平均,毫秒,落在各兴趣区上的注视时间合计。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
166,eye_aoi_total_fix_ms__std,眼动-AOI,eye_aoi_total_fix_ms,AOI 上总注视时长,std,任务内波动,毫秒,落在各兴趣区上的注视时间合计。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
167,eye_aoi_total_fix_ms__median,眼动-AOI,eye_aoi_total_fix_ms,AOI 上总注视时长,median,任务内中位数,毫秒,落在各兴趣区上的注视时间合计。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
168,eye_aoi_total_fix_ms__slope,眼动-AOI,eye_aoi_total_fix_ms,AOI 上总注视时长,slope,任务过程走势,毫秒,落在各兴趣区上的注视时间合计。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
